origines,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
Paris,paris,,,,,,,,,,,,
Seine-Maritime,seine-maritime,seine maritime,,,,,,,,,,,
Seine-et-Marne,seine-et-marne,seine et marne,,,,,,,,,,,
Yvelines,yvelines,,,,,,,,,,,,
Deux-Sèvres,deux-sèvres,deux sevres,,,,,,,,,,,
Somme,somme,,,,,,,,,,,,
Tarn,tarn,,,,,,,,,,,,
Tarn-et-Garonne,tarn-et-garonne,tarn et garonne,,,,,,,,,,,
Var,var,,,,,,,,,,,,
Vaucluse,vaucluse,,,,,,,,,,,,
Vendée,vendée,vendee,,,,,,,,,,,
Vienne,vienne,,,,,,,,,,,,
Haute-Vienne,haute-vienne,haute vienne,,,,,,,,,,,
Vosges,vosges,,,,,,,,,,,,
Yonne,yonne,,,,,,,,,,,,
Territoire de Belfort,territoire de belfort,,,,,,,,,,,,
Essonne,essonne,,,,,,,,,,,,
Hauts-de-Seine,hauts-de-seine,hauts de seine,,,,,,,,,,,
Seine-Saint-Denis,seine-saint-denis,seine saint denis,,,,,,,,,,,
Val-de-Marne,val-de-marne,val de marne,,,,,,,,,,,
Val-D'Oise,val-d'oise,val doise,,,,,,,,,,,
FAO 21,fao 21,,,,,,,,,,,,
FAO 27,fao 27,,,,,,,,,,,,
FAO 31,fao 31,,,,,,,,,,,,
FAO 34,fao 34,,,,,,,,,,,,
FAO 37,fao 37,,,,,,,,,,,,
FAO 41,fao 41,,,,,,,,,,,,
FAO 47,fao 47,,,,,,,,,,,,
FAO 5,fao 5,,,,,,,,,,,,
FAO 51,fao 51,,,,,,,,,,,,
FAO 61,fao 61,,,,,,,,,,,,
FAO 67,fao 67,,,,,,,,,,,,
FAO 71,fao 71,,,,,,,,,,,,
FAO 81,fao 81,,,,,,,,,,,,
FAO 87,fao 87,,,,,,,,,,,,
Écosse,écosse,ecosse,,,,,,,,,,,
Inconnu,inconnu,,,,,,,,,,,,
Mercosur,mercosur,mercosul,,,,,,,,,,,
