basevariante,aliment,variante,tva,famille,allergenes
Cacahuète grillée salée,Cacahuète,grillée salée,-,Epicerie,
Cacahuète grillée sans sel ajouté,Cacahuète,grillée sans sel ajouté,-,Epicerie,
Cacao en poudre soluble,Cacao,en poudre soluble,-,Epicerie,
Cacao petit déjeuné,Cacao,petit déjeuné,-,Epicerie,
Cacao non sucré en poudre,Cacao,non sucré en poudre,-,Epicerie,
Café en poudre soluble,Café,en poudre soluble,-,Epicerie,
Café moulu,Café,moulu,-,Epicerie,
Café équilibre 50/50,Café,équilibre 50/50,-,Epicerie,
Café au lait au chocolat poudre soluble,Café,au lait au chocolat poudre soluble,-,Epicerie,
Café au lait poudre soluble,Café,au lait poudre soluble,-,Epicerie,
Café cappuccino au chocolat poudre soluble,Café,cappuccino au chocolat poudre soluble,-,Epicerie,
Café cappuccino poudre soluble,Café,cappuccino poudre soluble,-,Epicerie,
Café décaféiné poudre soluble,Café,décaféiné poudre soluble,-,Epicerie,
Café au lait instantané,Café,au lait instantané,-,Epicerie,
Café décaféiné,Café,décaféiné,-,Epicerie,
Café expresso,Café,expresso,-,Epicerie,
Café instantané,Café,instantané,-,Epicerie,
Café,Café,,-,Epicerie,
Café moulu arabica,Café,moulu arabica,-,Epicerie,
Café extrait liquide,Café,extrait liquide,-,Epicerie,
Café en grain au chocolat,Café,en grain au chocolat,-,Epicerie,
Caille,Caille,,-,Viandes_Poissons,
Caïmite,Caïmite,,-,Fruits_et_légumes,
Cake salé,Cake,salé,-,Epicerie,
Cake aux fruits,Cake,aux fruits,-,Epicerie,
Calamar,Calamar,,-,Viandes_Poissons,
Calamar à la romaine,Calamar,à la romaine,-,Viandes_Poissons,
Calamar à la romaine,Calamar,à la romaine,-,Viandes_Poissons,
Calissons d'Aix en Provence,Calissons d'Aix en Provence,,-,Epicerie,
Camembert de Normandie,Camembert,de Normandie,-,BOF,
Camembert,Camembert,,-,BOF,
Camembert au lait cru,Camembert,au lait cru,-,BOF,
Camembert 20% mg,Camembert,20% mg,-,BOF,
Canapés salés,Canapés salés,,-,Epicerie,
Canard magret fumé,Canard,magret fumé,-,Viandes_Poissons,
Canard,Canard,,-,Viandes_Poissons,
Canard cuisse,Canard,cuisse,-,Viandes_Poissons,
Canard magret,Canard,magret,-,Viandes_Poissons,
Canard effiloché confit,Canard,effiloché confit,-,Viandes_Poissons,
Canard cuisse confit,Canard,cuisse confit,-,Viandes_Poissons,
Canard sauté,Canard,sauté,-,Viandes_Poissons,
Canard aiguillette,Canard,aiguillette,-,Viandes_Poissons,
"Canard en sauce poivre vert, chasseur",Canard en sauce,"poivre vert, chasseur",-,Epicerie,
Cancoillotte,Cancoillotte,,-,BOF,
Canelé,Canelé,,-,Epicerie,
Canneberge,Canneberge,,-,Fruits_et_légumes,
Canneberge séchée sucrée,Canneberge,séchée sucrée,-,Fruits_et_légumes,
Cannelle,Cannelle,,-,Epicerie,
Cannelle en poudre,Cannelle,en poudre,-,Epicerie,
Cannelloni,Cannelloni,,-,Epicerie,
Cannelloni Boeuf,Cannelloni Boeuf,,-,Epicerie,
Cantal,Cantal,,-,BOF,
Cantal entre-deux,Cantal,entre-deux,-,BOF,
Cantal laguiole,Cantal,laguiole,-,BOF,
Capelan,Capelan,,-,Viandes_Poissons,
Câpre,Câpre,,-,Epicerie,
Câpres au vinaigre,Câpres,au vinaigre,-,Epicerie,
Carambole,Carambole,,-,Fruits_et_légumes,
Caramel mou au cacao,Caramel,mou au cacao,-,Epicerie,
Caramel liquide,Caramel,liquide,-,Epicerie,
Carangue,Carangue,,-,Viandes_Poissons,
Cardamome vert,Cardamome,vert,-,Epicerie,
Cardamome,Cardamome,,-,Epicerie,
Cardine franche,Cardine franche,,-,Viandes_Poissons,
Cardon,Cardon,,-,Fruits_et_légumes,
Cardon,Cardon,,-,Fruits_et_légumes,
Cardon épluché,Cardon,épluché,-,Fruits_et_légumes,
Carotte blanche,Carotte,blanche,-,Fruits_et_légumes,
Carotte jaune,Carotte,jaune,-,Fruits_et_légumes,
Carotte brunoise,Carotte,brunoise,-,Fruits_et_légumes,
Carotte mirepoix,Carotte,mirepoix,-,Fruits_et_légumes,
Carotte rapée,Carotte,rapée,-,Fruits_et_légumes,
Carotte brunoise,Carotte,brunoise,-,Fruits_et_légumes,
Carotte mirepoix,Carotte,mirepoix,-,Fruits_et_légumes,
Carotte rapée,Carotte,rapée,-,Fruits_et_légumes,
Carotte épluchée,Carotte,épluchée,-,Fruits_et_légumes,
Carotte épluchée,Carotte,épluchée,-,Fruits_et_légumes,
Carotte,Carotte,,-,Fruits_et_légumes,
Carotte,Carotte,,-,Fruits_et_légumes,
Carotte,Carotte,,-,Fruits_et_légumes,
Carotte bâtonnet,Carotte,bâtonnet,-,Fruits_et_légumes,
Carotte bâtonnet,Carotte,bâtonnet,-,Fruits_et_légumes,
Carotte rondelle,Carotte,rondelle,-,Fruits_et_légumes,
Carotte rondelle,Carotte,rondelle,-,Fruits_et_légumes,
Carotte rondelle,Carotte,rondelle,-,Fruits_et_légumes,
Carotte rondelle,Carotte,rondelle,-,Fruits_et_légumes,
Carotte duo,Carotte,duo,-,Fruits_et_légumes,
Carotte croquante,Carotte,croquante,-,Fruits_et_légumes,
Carotte fondante,Carotte,fondante,-,Fruits_et_légumes,
Carottes râpées,Carottes râpées,,-,Epicerie,
Carpaccio de saumon,Carpaccio,de saumon,-,Epicerie,
Carpaccio de boeuf,Carpaccio,de boeuf,-,Epicerie,
Carpe,Carpe,,-,Viandes_Poissons,
Carpe élevage,Carpe,élevage,-,Viandes_Poissons,
Carré abricot,Carré,abricot,-,Epicerie,
Carré au chocolat,Carré,au chocolat,-,Epicerie,
Carré de l'Est,Carré de l'Est,,-,BOF,
Carré des écluces,Carré des écluces,,-,BOF,
Carrelet,Carrelet,,-,Viandes_Poissons,
Carrelet pané frit,Carrelet,pané frit,-,Viandes_Poissons,
Carvi en grains,Carvi,en grains,-,Epicerie,
Cassis,Cassis,,-,Fruits_et_légumes,
Cassonade,Cassonade,,-,Epicerie,
Cassoulet,Cassoulet,,-,Epicerie,
Cassoulet au canard,Cassoulet au canard,,-,Epicerie,
Cassoulet au porc,Cassoulet au porc,,-,Epicerie,
Caviar,Caviar,,-,Viandes_Poissons,
Caviar d'aubergine,Caviar d'aubergine,,-,Epicerie,
Caviar de tomates,Caviar de tomates,,-,Epicerie,
Cébette,Cébette,,-,Fruits_et_légumes,
Céleri branche,Céleri branche,,-,Fruits_et_légumes,
Céleri branche,Céleri branche,,-,Fruits_et_légumes,
Céleri branche,Céleri branche,,-,Fruits_et_légumes,
Céleri branche,Céleri branche,,-,Fruits_et_légumes,
Céleri branche épluché,Céleri branche,épluché,-,Fruits_et_légumes,
Céleri rémoulade,Céleri rémoulade,,-,Epicerie,
Céleri rémoulade,Céleri rémoulade,,-,Epicerie,
Céleri-rave épluché,Céleri-rave,épluché,-,Fruits_et_légumes,
Céleri-rave,Céleri-rave,,-,Fruits_et_légumes,
Céleri-rave,Céleri-rave,,-,Fruits_et_légumes,
Céleri-rave,Céleri-rave,,-,Fruits_et_légumes,
Céleri-rave rapé,Céleri-rave,rapé,-,Fruits_et_légumes,
Céleri-rave rapé,Céleri-rave,rapé,-,Fruits_et_légumes,
Céréales complètes soufflées,Céréales complètes soufflées,,-,Epicerie,
Céréales gourmandes,Céréales gourmandes,,-,Epicerie,
Céréales instantanées poudre à reconstituer dès 4/6 mois,Céréales instantanées,poudre à reconstituer dès 4/6 mois,-,Epicerie,
Céréales pour petit déjeuner au chocolat,Céréales pour petit déjeuner,au chocolat,-,Epicerie,
Céréales pour petit déjeuner au chocolat non fourrées,Céréales pour petit déjeuner,au chocolat non fourrées,-,Epicerie,
Céréales pour petit déjeuner riches en fibres au chocolat,Céréales pour petit déjeuner,riches en fibres au chocolat,-,Epicerie,
Céréales pour petit déjeuner,Céréales pour petit déjeuner,,-,Epicerie,
Céréales pour petit déjeuner aux fruits,Céréales pour petit déjeuner,aux fruits,-,Epicerie,
Céréales pour petit déjeuner aux fruits secs à coque,Céréales pour petit déjeuner,aux fruits secs à coque,-,Epicerie,
Céréales pour petit déjeuner fourrées au chocolat,Céréales pour petit déjeuner,fourrées au chocolat,-,Epicerie,
Céréales pour petit déjeuner fourrées,Céréales pour petit déjeuner,fourrées,-,Epicerie,
Céréales pour petit déjeuner nature,Céréales pour petit déjeuner,nature,-,Epicerie,
Céréales pour petit déjeuner au miel,Céréales pour petit déjeuner,au miel,-,Epicerie,
Céréales pour petit déjeuner très riches en fibres,Céréales pour petit déjeuner,très riches en fibres,-,Epicerie,
Cerf sauté,Cerf,sauté,-,Viandes_Poissons,
Cerf,Cerf,,-,Viandes_Poissons,
Cerfeuil,Cerfeuil,,-,Fruits_et_légumes,
Cerise,Cerise,,-,Fruits_et_légumes,
Cerise griotte,Cerise,griotte,-,Fruits_et_légumes,
Cerise noire,Cerise,noire,-,Fruits_et_légumes,
Cerise dénoyauté,Cerise,dénoyauté,-,Fruits_et_légumes,
Cerise acérola,Cerise acérola,,-,Fruits_et_légumes,
Cerise amarena,Cerise amarena,,-,Epicerie,
Cerise bigarrreaux rouge,Cerise bigarrreaux,rouge,-,Fruits_et_légumes,
Cerise bigarrreaux verte,Cerise bigarrreaux,verte,-,Fruits_et_légumes,
Cerise bigarrreaux dénoyautés,Cerise bigarrreaux,dénoyautés,-,Fruits_et_légumes,
Cervelas,Cervelas,,-,Viandes_Poissons,
Cervelas orloff,Cervelas,orloff,-,Viandes_Poissons,
Cervelas à l'ail,Cervelas,à l'ail,-,Viandes_Poissons,
Cervelas obernois,Cervelas,obernois,-,Viandes_Poissons,
Cervelle d'agneau,Cervelle,d'agneau,-,Viandes_Poissons,
Cervelle de porc,Cervelle,de porc,-,Viandes_Poissons,
Cervelle de veau,Cervelle,de veau,-,Viandes_Poissons,
Chabichou,Chabichou,,-,BOF,
Chadèque,Chadèque,,-,Fruits_et_légumes,
Chair à saucisse,Chair à saucisse,,-,Viandes_Poissons,
Chair à saucisse pur porc,Chair à saucisse,pur porc,-,Viandes_Poissons,
Champagne,Champagne,,-,Epicerie,
Champignon cèpe,Champignon,cèpe,-,Fruits_et_légumes,
Champignon émincé,Champignon,émincé,-,Fruits_et_légumes,
Champignon chanterelle,Champignon,chanterelle,-,Fruits_et_légumes,
Champignon girofle,Champignon,girofle,-,Fruits_et_légumes,
Champignon lentin,Champignon,lentin,-,Fruits_et_légumes,
Champignon morille,Champignon,morille,-,Fruits_et_légumes,
Champignon oronge vraie,Champignon,oronge vraie,-,Fruits_et_légumes,
Champignon pleurote,Champignon,pleurote,-,Fruits_et_légumes,
Champignon rosé des prés,Champignon,rosé des prés,-,Fruits_et_légumes,
Champignon,Champignon,,-,Fruits_et_légumes,
Champignon,Champignon,,-,Fruits_et_légumes,
Champignon truffe noire,Champignon,truffe noire,-,Fruits_et_légumes,
Champignon de Paris épluché,Champignon de Paris,épluché,-,Fruits_et_légumes,
Champignon de Paris,Champignon de Paris,,-,Fruits_et_légumes,
Champignon de Paris,Champignon de Paris,,-,Fruits_et_légumes,
Champignon de Paris,Champignon de Paris,,-,Fruits_et_légumes,
Champignon hôtel,Champignon hôtel,,-,Fruits_et_légumes,
Champignon noir séché,Champignon noir,séché,-,Fruits_et_légumes,
Champignon noir sec,Champignon noir,sec,-,Fruits_et_légumes,
Champignon pied & morceaux,Champignon pied & morceaux,,-,Fruits_et_légumes,
Champignons à la grecque,Champignons à la grecque,,-,Epicerie,
Chaource,Chaource,,-,BOF,
Chapelure brune,Chapelure,brune,-,Epicerie,
Chapelure,Chapelure,,-,Epicerie,
Chapon filet avec peau,Chapon,filet avec peau,-,Viandes_Poissons,
Chapon,Chapon,,-,Viandes_Poissons,
Charlotte aux fruits,Charlotte aux fruits,,-,Epicerie,
Châtaigne,Châtaigne,,-,Epicerie,
Châtaigne,Châtaigne,,-,Epicerie,
Chausson aux pommes,Chausson aux pommes,,-,Epicerie,
Chayote,Chayote,,-,Fruits_et_légumes,
Cheddar,Cheddar,,-,BOF,
Cheesburger,Cheesburger,,-,Epicerie,
Cheeseburger double,Cheeseburger,double,-,Epicerie,
Cheeseburger,Cheeseburger,,-,Epicerie,
Cheesecake,Cheesecake,,-,BOF,
Chérimole,Chérimole,,-,Fruits_et_légumes,
Cheval entrecôte,Cheval,entrecôte,-,Viandes_Poissons,
Cheval faux-filet,Cheval,faux-filet,-,Viandes_Poissons,
Cheval steak,Cheval,steak,-,Viandes_Poissons,
Cheval tende de tranche,Cheval,tende de tranche,-,Viandes_Poissons,
Cheval,Cheval,,-,Viandes_Poissons,
Cheveu d'ange,Cheveu d'ange,,-,Epicerie,
Chèvre bûchette,Chèvre,bûchette,-,BOF,
Chèvre,Chèvre,,-,BOF,
Chèvre long,Chèvre,long,-,BOF,
Chèvre spécial cuisson,Chèvre,spécial cuisson,-,BOF,
Chèvre frais,Chèvre,frais,-,BOF,
Chevreau,Chevreau,,-,Viandes_Poissons,
Chèvretine,Chèvretine,,-,Viandes_Poissons,
Chevreuil,Chevreuil,,-,Viandes_Poissons,
Chevrot,Chevrot,,-,BOF,
Chewing-gum sans sucre,Chewing-gum,sans sucre,-,Epicerie,
Chewing-gum sucré,Chewing-gum,sucré,-,Epicerie,
Chia graine séchée,Chia,graine séchée,-,Epicerie,
Chicorée poudre soluble,Chicorée,poudre soluble,-,Epicerie,
Chicorée instantané,Chicorée,instantané,-,Epicerie,
Chicorée instantanée,Chicorée,instantanée,-,Epicerie,
Chicorée rouge,Chicorée rouge,,-,Fruits_et_légumes,
Chicorée verte,Chicorée verte,,-,Fruits_et_légumes,
Chili con carne,Chili con carne,,-,Epicerie,
Chinchard,Chinchard,,-,Viandes_Poissons,
Chinchard maigre,Chinchard,maigre,-,Viandes_Poissons,
Chipolata,Chipolata,,-,Viandes_Poissons,
Chipolata de dinde,Chipolata,de dinde,-,Viandes_Poissons,
Chips au sel de guérande,Chips,au sel de guérande,-,Epicerie,
Chips,Chips,,-,Epicerie,
Chips à l'ancienne,Chips,à l'ancienne,-,Epicerie,
Chips d'abricot pays,Chips,d'abricot pays,-,Epicerie,
Chips de crevette,Chips,de crevette,-,Epicerie,
Chips de potiron,Chips,de potiron,-,Epicerie,
Chips de maïs,Chips,de maïs,-,Epicerie,
Chips tortilla,Chips,tortilla,-,Epicerie,
Chocolat amer,Chocolat amer,,-,Epicerie,
Chocolat au lait,Chocolat au lait,,-,Epicerie,
Chocolat au lait au praliné,Chocolat au lait,au praliné,-,Epicerie,
Chocolat au lait aux céréales croustillantes,Chocolat au lait,aux céréales croustillantes,-,Epicerie,
Chocolat au lait aux fruits secs,Chocolat au lait,aux fruits secs,-,Epicerie,
Chocolat au lait fourré,Chocolat au lait,fourré,-,Epicerie,
Chocolat au lait sans sucres ajoutés,Chocolat au lait,sans sucres ajoutés,-,Epicerie,
Chocolat blanc,Chocolat blanc,,-,Epicerie,
Chocolat blanc aux fruits secs,Chocolat blanc,aux fruits secs,-,Epicerie,
Chocolat copeaux,Chocolat copeaux,,-,Epicerie,
Chocolat labo,Chocolat labo,,-,Epicerie,
Chocolat liquide,Chocolat liquide,,-,Epicerie,
Chocolat noir à 40% de cacao minimum,Chocolat noir,à 40% de cacao minimum,-,Epicerie,
Chocolat noir à la menthe,Chocolat noir,à la menthe,-,Epicerie,
Chocolat noir aux fruits,Chocolat noir,aux fruits,-,Epicerie,
Chocolat noir aux fruits secs,Chocolat noir,aux fruits secs,-,Epicerie,
Chocolat noir praliné,Chocolat noir,praliné,-,Epicerie,
Chocolat noir à 70% cacao minimum,Chocolat noir,à 70% cacao minimum,-,Epicerie,
Chocolat noir à moins de 70% de cacao,Chocolat noir,à moins de 70% de cacao,-,Epicerie,
Chocolat noir palets,Chocolat noir,palets,-,Epicerie,
Chocolat noir,Chocolat noir,,-,Epicerie,
Chocolat pépites,Chocolat pépites,,-,Epicerie,
Chop suey,Chop suey,,-,Epicerie,
Chorizo doux,Chorizo,doux,-,Viandes_Poissons,
Chorizo,Chorizo,,-,Viandes_Poissons,
Chou à la crème chantilly,Chou à la crème,chantilly,-,Epicerie,
Chou à la crème pâtissière,Chou à la crème,pâtissière,-,Epicerie,
Chou blanc émincé,Chou blanc,émincé,-,Fruits_et_légumes,
Chou blanc émincé,Chou blanc,émincé,-,Fruits_et_légumes,
Chou blanc,Chou blanc,,-,Fruits_et_légumes,
Chou chinois,Chou chinois,,-,Fruits_et_légumes,
Chou de Bruxelles,Chou de Bruxelles,,-,Fruits_et_légumes,
Chou de Bruxelles,Chou de Bruxelles,,-,Fruits_et_légumes,
Chou de Bruxelles,Chou de Bruxelles,,-,Fruits_et_légumes,
Chou dur,Chou dur,,-,Fruits_et_légumes,
Chou farci,Chou farci,,-,Epicerie,
Chou frisé,Chou frisé,,-,Fruits_et_légumes,
Chou romanesco,Chou romanesco,,-,Fruits_et_légumes,
Chou rouge émincé,Chou rouge,émincé,-,Fruits_et_légumes,
Chou rouge émincé,Chou rouge,émincé,-,Fruits_et_légumes,
Chou rouge,Chou rouge,,-,Fruits_et_légumes,
Chou vert émincé,Chou vert,émincé,-,Fruits_et_légumes,
Chou vert émincé,Chou vert,émincé,-,Fruits_et_légumes,
Chou vert,Chou vert,,-,Fruits_et_légumes,
Chou-fleur fleurette,Chou-fleur,fleurette,-,Fruits_et_légumes,
Chou-fleur épluché,Chou-fleur,épluché,-,Fruits_et_légumes,
Chou-fleur,Chou-fleur,,-,Fruits_et_légumes,
Chou-fleur,Chou-fleur,,-,Fruits_et_légumes,
Chou-fleur,Chou-fleur,,-,Fruits_et_légumes,
Chou-rave,Chou-rave,,-,Fruits_et_légumes,
Choucroute sans garniture cuite au riesling,Choucroute,sans garniture cuite au riesling,-,Epicerie,
Choucroute sans garniture,Choucroute,sans garniture,-,Epicerie,
Choucroute garnie,Choucroute,garnie,-,Epicerie,
Chouquette,Chouquette,,-,Epicerie,
Choux nature,Choux nature,,-,Fruits_et_légumes,
Christophine,Christophine,,-,Fruits_et_légumes,
Christophine blanche,Christophine,blanche,-,Fruits_et_légumes,
Christophine verte,Christophine,verte,-,Fruits_et_légumes,
Ciboulette hachée,Ciboulette,hachée,-,Fruits_et_légumes,
Ciboulette,Ciboulette,,-,Fruits_et_légumes,
Ciboulette,Ciboulette,,-,Fruits_et_légumes,
Cidre aromatisé framboise,Cidre,aromatisé framboise,-,Epicerie,
Cidre bouché demi-sec,Cidre,bouché demi-sec,-,Epicerie,
Cidre brut,Cidre,brut,-,Epicerie,
Cidre traditionnel,Cidre,traditionnel,-,Epicerie,
Cidre doux,Cidre,doux,-,Epicerie,
Cigarette,Cigarette,,-,Epicerie,
Citron vert,Citron,vert,-,Fruits_et_légumes,
Citron jaune,Citron,jaune,-,Fruits_et_légumes,
Citron,Citron,,-,Fruits_et_légumes,
Citron zeste,Citron,zeste,-,Fruits_et_légumes,
Citron confit au sel,Citron,confit au sel,-,Fruits_et_légumes,
Citronnelle,Citronnelle,,-,Fruits_et_légumes,
Citrouille épluché,Citrouille,épluché,-,Fruits_et_légumes,
Citrouille,Citrouille,,-,Fruits_et_légumes,
Clafoutis aux fruits,Clafoutis,aux fruits,-,BOF,
Clémentine,Clémentine,,-,Fruits_et_légumes,
Clou de girofle,Clou de girofle,,-,Epicerie,
Cocktail de fruits,Cocktail de fruits,,-,Epicerie,
Cocktail de fruits de mer,Cocktail de fruits de mer,,-,Viandes_Poissons,
Cocktail de fruits de mer,Cocktail de fruits de mer,,-,Viandes_Poissons,
Coeur d'agneau,Coeur,d'agneau,-,Viandes_Poissons,
Coeur de dinde,Coeur,de dinde,-,Viandes_Poissons,
Coeur de porc,Coeur,de porc,-,Viandes_Poissons,
Coeur de poulet,Coeur,de poulet,-,Viandes_Poissons,
Coeur de veau,Coeur,de veau,-,Viandes_Poissons,
Coeur de boeuf,Coeur,de boeuf,-,Viandes_Poissons,
Cœur de blé,Cœur de blé,,-,Epicerie,
Coeur de palmier,Coeur de palmier,,-,Fruits_et_légumes,
Cœur de palmier,Cœur de palmier,,-,Fruits_et_légumes,
Cognac dénaturé,Cognac,dénaturé,-,Epicerie,
Cognac,Cognac,,-,Epicerie,
Coing,Coing,,-,Fruits_et_légumes,
Cola,Cola,,-,Epicerie,
Colin d'Alaska,Colin,d'Alaska,-,Viandes_Poissons,
Colin,Colin,,-,Viandes_Poissons,
Colin dos,Colin,dos,-,Viandes_Poissons,
Colin d'Alaska dos,Colin,d'Alaska dos,-,Viandes_Poissons,
Colin pavé,Colin,pavé,-,Viandes_Poissons,
Colin filet,Colin,filet,-,Viandes_Poissons,
Colin aiguillette,Colin,aiguillette,-,Viandes_Poissons,
Colin d'Alaska en filet,Colin,d'Alaska en filet,-,Viandes_Poissons,
Colin d'Alaska fumé,Colin,d'Alaska fumé,-,Viandes_Poissons,
Colorant rouge,Colorant,rouge,-,Epicerie,
Colorant jaune,Colorant,jaune,-,Epicerie,
Colorant viande,Colorant,viande,-,Epicerie,
Compote de pêche,Compote,de pêche,-,Epicerie,
Compote de pomme,Compote,de pomme,-,Epicerie,
Compote d'ananas,Compote,d'ananas,-,Epicerie,
Compote de poire,Compote,de poire,-,Epicerie,
Compote assortiments,Compote,assortiments,-,Epicerie,
Compote de fraise,Compote,de fraise,-,Epicerie,
Compote pomme/abricot,Compote,pomme/abricot,-,Epicerie,
Compote pomme/banane,Compote,pomme/banane,-,Epicerie,
Compote pomme/cassis,Compote,pomme/cassis,-,Epicerie,
Compote pomme/fraise,Compote,pomme/fraise,-,Epicerie,
Compote pomme/pêche,Compote,pomme/pêche,-,Epicerie,
Compote pomme/poire,Compote,pomme/poire,-,Epicerie,
Compote pomme/prune,Compote,pomme/prune,-,Epicerie,
Compote d'abricot,Compote,d'abricot,-,Epicerie,
Compote pomme/framboise,Compote,pomme/framboise,-,Epicerie,
Compotes de fruits,Compotes,de fruits,-,Epicerie,
Comté,Comté,,-,BOF,
Concombre en cubes,Concombre,en cubes,-,Fruits_et_légumes,
Concombre en cubes,Concombre,en cubes,-,Fruits_et_légumes,
Concombre épluché,Concombre,épluché,-,Fruits_et_légumes,
Concombre épluché,Concombre,épluché,-,Fruits_et_légumes,
Concombre rondelle,Concombre,rondelle,-,Fruits_et_légumes,
Concombre rondelle,Concombre,rondelle,-,Fruits_et_légumes,
Concombre,Concombre,,-,Fruits_et_légumes,
Cone glace à la fraise,Cone glace,à la fraise,-,Epicerie,
Cone glace au chocolat,Cone glace,au chocolat,-,Epicerie,
Cone glace pistache,Cone glace,pistache,-,Epicerie,
Cone glace vanille,Cone glace,vanille,-,Epicerie,
Cône pour glace,Cône pour glace,,-,Epicerie,
Confiserie au chocolat dragéifiée,Confiserie au chocolat dragéifiée,,-,Epicerie,
Confit de canard,Confit de canard,,-,Viandes_Poissons,
Confit de foie de porc,Confit de foie de porc,,-,Viandes_Poissons,
Confit de foie de volaille,Confit de foie de volaille,,-,Viandes_Poissons,
Confiture de fraise,Confiture,de fraise,-,Epicerie,
Confiture de framboise,Confiture,de framboise,-,Epicerie,
Confiture,Confiture,,-,Epicerie,
Confiture de cerise,Confiture,de cerise,-,Epicerie,
Confiture de lait,Confiture,de lait,-,Epicerie,
Confiture de myrtilles,Confiture,de myrtilles,-,Epicerie,
Confiture de prune,Confiture,de prune,-,Epicerie,
Confiture tout type de fruits,Confiture,tout type de fruits,-,Epicerie,
Confiture d'abricot,Confiture,d'abricot,-,Epicerie,
